customer_pk,first_name,last_name,email,phone_number,registration_date,address
cust98bf1fc938a041,Фёкла,Гаврилова,feklagavrilova@yundex.ru,+70316029034,2024-05-27,"клх Ханты-Мансийск, бул. Песчаный, д. 6/7 стр. 5/4, 263878"
cust163660e5749544,Емельян,Данилов,emeljandanilov@yundex.ru,+71600250199,2024-08-10,"ст. Аршан (Бурят.), пр. Приморский, д. 7 стр. 2, 001779"
cust6d1721ddf20644,Эмилия,Щербакова,emilijascherbakova@gwail.com,+72427665354,2022-12-10,"п. Снежногорск (Мурм.), пр. Пожарского, д. 97, 177197"
custd9294b9972b941,Варвара,Баранова,varvarabaranova@moil.ru,+71937145691,2024-11-08,"д. Люберцы, ул. Шевченко, д. 8/4, 523336"
custde2f7e3f9bb244,Любим,Матвеев,ljubimmatveev@gwail.com,+74645411345,2023-11-27,"клх Серов, алл. Воровского, д. 338, 366432"
custefe4f5ca939640,Зоя,Максимова,zojamaksimova@yundex.ru,+78082333150,2020-11-08,"д. Палана, пр. Томский, д. 931, 763795"
cust282688a8a5ad4d,Наина,Самсонова,nainasamsonova@moil.ru,+72579578614,2023-02-02,"г. Петропавловск-Камчатский, пр. Семашко, д. 3/4, 099726"
cust38682ef6063c4d,Анжелика,Котова,anzhelikakotova@gwail.com,+78406050719,2025-01-14,"д. Усть-Калманка, пр. Кольцова, д. 694 стр. 922, 129746"
custa52bd4fc684c4f,Фрол,Брагин,frolbragin@yundex.ru,+73315808713,2021-09-12,"п. Дно, ул. Транспортная, д. 65, 889116"
cust1d99ce900ea84a,Алла,Куликова,allakulikova@moil.ru,+78112551885,2021-09-12,"п. Кызыл, наб. Энергетиков, д. 291, 114212"
